"id","user_id","site_id","access_granted_since","access_granted_till"
"f19e686d-4282-45fa-a825-21dbf7a95a41","ee8a13ec-18af-49e4-8ffc-842774f8652f","03394a90-d26f-4dc4-85cf-7978b2a190fa","2020-12-15 15:50:14.000000","2023-03-14 22:46:58.000000"
"96b4b782-47ed-4ceb-bf94-e7a36aca0e88","ee8a13ec-18af-49e4-8ffc-842774f8652f","37b78bce-dd8d-4c1b-8e8e-7fa187134796","2020-12-15 15:29:50.000000","2023-03-14 23:02:14.000000"
"7668bcb7-322d-4d2b-8fec-15f59aff6131","ee8a13ec-18af-49e4-8ffc-842774f8652f","94af5aeb-161f-493a-9a56-82f51278f3da","2020-12-15 15:09:25.000000","2023-03-14 21:05:21.000000"
"e2c3b899-e7a7-4016-9667-95d90b796f25","ee8a13ec-18af-49e4-8ffc-842774f8652f","5caf2a27-77e3-409e-90d0-3502bb974836","2020-12-15 16:09:18.000000","2023-03-14 23:51:38.000000"
"392dc28d-0290-4e70-b5be-b74434ee0b7d","ee8a13ec-18af-49e4-8ffc-842774f8652f","2adbfebc-079c-4ec2-9f27-bcf07c2597c3","2020-12-15 17:19:29.000000","2023-03-14 20:16:34.000000"
"b3ac71f1-9ba6-463e-90d3-117bad09b141","ee8a13ec-18af-49e4-8ffc-842774f8652f","93da2780-c0a6-4fec-8c24-6a18dae02184","2020-12-15 18:51:55.000000","2023-03-13 16:54:21.000000"
"5d81513b-bd0b-49f4-8929-ba9076c3c9ba","58d2d805-ae95-4e34-934f-052d2e32eba0","93da2780-c0a6-4fec-8c24-6a18dae02184","2020-12-15 14:48:34.000000","2023-03-14 16:59:22.000000"
"a023990e-85de-453b-bc57-826bd859eb96","58d2d805-ae95-4e34-934f-052d2e32eba0","94af5aeb-161f-493a-9a56-82f51278f3da","2020-12-15 15:05:28.000000","2023-03-14 15:14:13.000000"
"1489674c-0cbc-4afe-87dc-645fdfe15588","58d2d805-ae95-4e34-934f-052d2e32eba0","a8cce99e-b939-49c3-98d8-7adf3610f12c","2020-12-16 11:40:19.000000","2023-03-14 16:10:32.000000"
"2fad01ec-71e0-4467-adea-7205d9c84ff2","58d2d805-ae95-4e34-934f-052d2e32eba0","5caf2a27-77e3-409e-90d0-3502bb974836","2020-12-19 14:49:26.000000","2023-03-14 12:59:25.000000"
"16f42cf3-9c49-4c52-b10e-002aa632b6a4","05c03bfd-6b7d-4348-8bcd-5aeb5572da32","94af5aeb-161f-493a-9a56-82f51278f3da","2020-12-15 08:10:24.000000","2023-03-14 16:53:39.000000"
"7ccebfde-e2a9-47a2-8a5f-e847a4e177b7","05c03bfd-6b7d-4348-8bcd-5aeb5572da32","5caf2a27-77e3-409e-90d0-3502bb974836","2020-12-15 08:09:42.000000","2023-03-14 16:36:05.000000"
"bf2c0c3c-6b06-463c-b78a-1bf2974d4294","05c03bfd-6b7d-4348-8bcd-5aeb5572da32","93da2780-c0a6-4fec-8c24-6a18dae02184","2020-12-15 08:49:12.000000","2023-03-14 14:38:20.000000"
"c947d768-a422-40d3-8170-7d506bee7ca8","05c03bfd-6b7d-4348-8bcd-5aeb5572da32","a8cce99e-b939-49c3-98d8-7adf3610f12c","2020-12-15 09:22:53.000000","2023-03-14 16:31:51.000000"
"3821d52a-a892-4c3a-8931-4127e8d6221e","35bbce09-2f07-4dbe-8323-a3317612a099","94af5aeb-161f-493a-9a56-82f51278f3da","2020-12-15 09:49:57.000000","2023-03-14 15:07:26.000000"
"79a24e89-9a4a-4e0a-b403-41785af458f7","35bbce09-2f07-4dbe-8323-a3317612a099","a8cce99e-b939-49c3-98d8-7adf3610f12c","2020-12-15 09:08:14.000000","2023-03-14 16:21:38.000000"
"a30ae5d3-e79f-41e5-9b13-6a8bc0acb661","35bbce09-2f07-4dbe-8323-a3317612a099","93da2780-c0a6-4fec-8c24-6a18dae02184","2020-12-15 09:24:52.000000","2023-03-14 16:52:45.000000"
"71b9b1cb-acd2-4145-8e83-e49125781148","35bbce09-2f07-4dbe-8323-a3317612a099","08714b00-48a3-4279-b7b0-71ba56d5a69e","2020-12-15 10:12:26.000000","2023-03-14 14:57:52.000000"
"035a806b-db8d-43c2-9f3d-c1f9d2a06cdc","35bbce09-2f07-4dbe-8323-a3317612a099","5caf2a27-77e3-409e-90d0-3502bb974836","2020-12-15 10:23:16.000000","2023-03-14 15:12:37.000000"
"6b2c9c0c-0c98-4d3a-a787-add7aa065fed","35bbce09-2f07-4dbe-8323-a3317612a099","2adbfebc-079c-4ec2-9f27-bcf07c2597c3","2020-12-15 13:06:37.000000","2023-03-13 15:09:57.000000"
"34c8bc02-1697-4da0-a4d2-5b854ac8c2d3","a16be771-4800-4a84-8155-fc0a330e9be6","a8cce99e-b939-49c3-98d8-7adf3610f12c","2020-12-15 09:27:18.000000","2023-03-14 16:16:51.000000"
"636740df-6d05-4a9f-8f64-42255c5dd7c5","a16be771-4800-4a84-8155-fc0a330e9be6","94af5aeb-161f-493a-9a56-82f51278f3da","2020-12-15 09:24:02.000000","2023-03-14 15:52:06.000000"
"94f58149-32d1-4f32-9727-e6dd116f1d2f","a16be771-4800-4a84-8155-fc0a330e9be6","93da2780-c0a6-4fec-8c24-6a18dae02184","2020-12-15 09:24:55.000000","2023-03-14 15:08:23.000000"
"3e1a3b92-b268-4d15-ba4f-5ac2fc420bac","a16be771-4800-4a84-8155-fc0a330e9be6","03394a90-d26f-4dc4-85cf-7978b2a190fa","2020-12-15 09:38:38.000000","2023-03-14 14:49:14.000000"
"3cf9cde1-0cd0-4f72-a15d-e1c035c4f3ec","a16be771-4800-4a84-8155-fc0a330e9be6","5caf2a27-77e3-409e-90d0-3502bb974836","2020-12-15 10:13:33.000000","2023-03-14 16:30:06.000000"
"62023974-c059-48a5-887b-28c53449da50","a16be771-4800-4a84-8155-fc0a330e9be6","2adbfebc-079c-4ec2-9f27-bcf07c2597c3","2020-12-15 12:47:14.000000","2023-03-14 15:10:15.000000"
"271ddcf9-80cf-4a55-88d6-3c952e18fa40","dc6d7e90-aa44-4065-9030-58bc4c40429b","a8cce99e-b939-49c3-98d8-7adf3610f12c","2020-12-15 09:08:00.000000","2023-03-14 16:38:10.000000"
"0e076b02-cb8f-4090-bef3-76b258abfab6","dc6d7e90-aa44-4065-9030-58bc4c40429b","5caf2a27-77e3-409e-90d0-3502bb974836","2020-12-15 09:23:37.000000","2023-03-14 12:07:23.000000"
"d2a304ae-56a1-4eda-9e56-79a63aa7d70d","dc6d7e90-aa44-4065-9030-58bc4c40429b","93da2780-c0a6-4fec-8c24-6a18dae02184","2020-12-15 09:10:02.000000","2023-03-14 15:20:05.000000"
"7acd48b0-bc3e-4d7a-8a77-2a16acd9338c","dc6d7e90-aa44-4065-9030-58bc4c40429b","94af5aeb-161f-493a-9a56-82f51278f3da","2020-12-15 10:07:31.000000","2023-03-14 13:24:34.000000"
"9a4ce47c-5f0d-4abb-9753-317f88412126","dc6d7e90-aa44-4065-9030-58bc4c40429b","37b78bce-dd8d-4c1b-8e8e-7fa187134796","2020-12-15 11:38:48.000000","2023-03-14 14:54:38.000000"
